SampleID,unclassified,Firmicutes,Actinobacteria,Bacteroidetes,Proteobacteria,Fusobacteria,Verrucomicrobia,Other
MB-5029,29.26,6.39,0.46,60.75,1.47,0.03,0.18,0.57
MB-7390,52.06,14.14,1.48,25.3,3.5,0.1,0.89,1.5
MB-1599,44.9,10.72,0.8,39.06,2.43,0.07,0.04,1.03
MB-8390,14.81,8.41,0.29,73.43,2.54,0.01,0.02,0.31
MB-3303,54.43,10.8,0.78,28.89,2.86,0.06,0.33,1.11
MB-9929,55.31,10.15,1.25,27.74,3.32,0.06,0.03,1.41
MB-2963,27.31,10.88,1.24,55.87,1.62,0.03,0.18,2.08
MB-6544,42.06,10.19,0.67,42.62,2.97,0.04,0.04,0.8
MB-4073,37.2,8.62,0.91,48.13,3.76,0.04,0.02,0.64
MB-2333,49.7,13.46,1.1,29.78,3.65,0.04,0.25,1.23
MB-2167,59.96,9.76,0.75,21.44,5.57,0.09,0.03,1.59
MB-7917,43.82,10.19,0.94,38.69,3.94,0.05,0.16,1.55
MB-8037,39.56,7.72,1.06,47.31,2.49,0.05,0.12,1.06
MB-4408,49.97,10.91,0.84,34.03,2.5,0.04,0.03,0.8
MB-3320,36.21,8.66,0.65,47.54,2.47,0.04,1.78,2.1
MB-8171,56.5,8.49,1.34,28.27,2.92,0.06,0.3,1.3
MB-5822,39.48,8.24,0.84,47,2.27,0.04,0.01,1.36
MB-3005,46.5,10.73,0.89,38.03,2.03,0.07,0.07,1.06
MB-7068,54.76,14.36,1,22.93,3.26,0.13,0.59,2.1
MB-5402,39.02,8.1,0.67,46.78,2.8,0.03,1.17,0.61
MB-1855,74,8.64,1.49,8.98,3.49,0.12,0.21,2
MB-6956,45.26,4.96,0.7,45.58,1.97,0.04,0.03,0.79
